candidate,state,debate,rank
John Kasich,CT,3,4
George Pataki,CT,1,9
George Pataki,CT,2,9
George Pataki,CT,3,2
Rand Paul,CT,1,9
Rand Paul,CT,2,8
Rand Paul,CT,3,8
Marco Rubio,CT,1,7
Marco Rubio,CT,2,12
Marco Rubio,CT,3,12
Rick Santorum,CT,1,7
Rick Santorum,CT,2,4
Rick Santorum,CT,3,7
Donald Trump,CT,1,3
Donald Trump,CT,2,9
Donald Trump,CT,3,8
Jeb Bush,DE,1,1
Jeb Bush,DE,2,4
Jeb Bush,DE,3,12
Ben Carson,DE,1,8
Ben Carson,DE,2,6
Ben Carson,DE,3,1
Chris Christie,DE,1,15
Chris Christie,DE,2,2
Chris Christie,DE,3,13
Ted Cruz,DE,1,3
Ted Cruz,DE,2,8
Ted Cruz,DE,3,10
Carly Fiorina,DE,1,13
Carly Fiorina,DE,2,7
Carly Fiorina,DE,3,10
Jim Gilmore,DE,1,11
Jim Gilmore,DE,2,9
Jim Gilmore,DE,3,15
Lindsey Graham,DE,1,10
Lindsey Graham,DE,2,2
Lindsey Graham,DE,3,9
Mike Huckabee,DE,1,2
Mike Huckabee,DE,2,10
Mike Huckabee,DE,3,9
Bobby Jindal,DE,1,3
Bobby Jindal,DE,2,1
Bobby Jindal,DE,3,4
John Kasich,DE,1,11
John Kasich,DE,2,15
John Kasich,DE,3,4
George Pataki,DE,1,11
George Pataki,DE,2,6
George Pataki,DE,3,5
Rand Paul,DE,1,1
Rand Paul,DE,2,1
Rand Paul,DE,3,12
Marco Rubio,DE,1,3
Marco Rubio,DE,2,13
Marco Rubio,DE,3,9
Rick Santorum,DE,1,11
Rick Santorum,DE,2,15
Rick Santorum,DE,3,15
Donald Trump,DE,1,3
Donald Trump,DE,2,10
Donald Trump,DE,3,8
Jeb Bush,FL,1,12
Jeb Bush,FL,2,10
Jeb Bush,FL,3,11
Ben Carson,FL,1,13
Ben Carson,FL,2,11
Ben Carson,FL,3,8
Chris Christie,FL,1,12
Chris Christie,FL,2,5
Chris Christie,FL,3,12
Ted Cruz,FL,1,13
Ted Cruz,FL,2,5
Ted Cruz,FL,3,13
Carly Fiorina,FL,1,4
Carly Fiorina,FL,2,10
Carly Fiorina,FL,3,15
Jim Gilmore,FL,1,2
Jim Gilmore,FL,2,6
Jim Gilmore,FL,3,11
Lindsey Graham,FL,1,4
Lindsey Graham,FL,2,13
Lindsey Graham,FL,3,11
Mike Huckabee,FL,1,2
Mike Huckabee,FL,2,5
Mike Huckabee,FL,3,1
Bobby Jindal,FL,1,10
Bobby Jindal,FL,2,3
Bobby Jindal,FL,3,5
John Kasich,FL,1,1
John Kasich,FL,2,3
John Kasich,FL,3,8
George Pataki,FL,1,5
George Pataki,FL,2,11
George Pataki,FL,3,13
Rand Paul,FL,1,2
Rand Paul,FL,2,9
Rand Paul,FL,3,6
Marco Rubio,FL,1,9
Marco Rubio,FL,2,10
Marco Rubio,FL,3,13
Rick Santorum,FL,1,2
Rick Santorum,FL,2,2
Rick Santorum,FL,3,6
Donald Trump,FL,1,2
Donald Trump,FL,2,15
Donald Trump,FL,3,14
Jeb Bush,GA,1,7
Jeb Bush,GA,2,11
Jeb Bush,GA,3,15
Ben Carson,GA,1,7
Ben Carson,GA,2,8
Ben Carson,GA,3,11
Chris Christie,GA,1,1
Chris Christie,GA,2,13
Chris Christie,GA,3,12
Ted Cruz,GA,1,5
Ted Cruz,GA,2,10
Ted Cruz,GA,3,8
Carly Fiorina,GA,1,5
Carly Fiorina,GA,2,5
Carly Fiorina,GA,3,4
Jim Gilmore,GA,1,2
Jim Gilmore,GA,2,6
Jim Gilmore,GA,3,3
Lindsey Graham,GA,1,7
Lindsey Graham,GA,2,8
Lindsey Graham,GA,3,3
Mike Huckabee,GA,1,5
Mike Huckabee,GA,2,12
Mike Huckabee,GA,3,1
Bobby Jindal,GA,1,14
Bobby Jindal,GA,2,13
Bobby Jindal,GA,3,13
John Kasich,GA,1,12
John Kasich,GA,2,7
John Kasich,GA,3,8
George Pataki,GA,1,11
George Pataki,GA,2,11
George Pataki,GA,3,2
Rand Paul,GA,1,15
Rand Paul,GA,2,12
Rand Paul,GA,3,14
Marco Rubio,GA,1,9
Marco Rubio,GA,2,15
Marco Rubio,GA,3,2
Rick Santorum,GA,1,10
Rick Santorum,GA,2,6
Rick Santorum,GA,3,3
Donald Trump,GA,1,3
Donald Trump,GA,2,14
Donald Trump,GA,3,6
Jeb Bush,HI,1,2
Jeb Bush,HI,2,1
Jeb Bush,HI,3,8
Ben Carson,HI,1,9
Ben Carson,HI,2,15
Ben Carson,HI,3,5
Chris Christie,HI,1,13
Chris Christie,HI,2,7
Chris Christie,HI,3,1
Ted Cruz,HI,1,9
Ted Cruz,HI,2,13
Ted Cruz,HI,3,10
Carly Fiorina,HI,1,14
Carly Fiorina,HI,2,5
Carly Fiorina,HI,3,9
Jim Gilmore,HI,1,1
Jim Gilmore,HI,2,12
Jim Gilmore,HI,3,14
Lindsey Graham,HI,1,8
Lindsey Graham,HI,2,4
Lindsey Graham,HI,3,6
Mike Huckabee,HI,1,2
Mike Huckabee,HI,2,2
Mike Huckabee,HI,3,12
Bobby Jindal,HI,1,6
Bobby Jindal,HI,2,8
Bobby Jindal,HI,3,4
John Kasich,HI,1,8
John Kasich,HI,2,8
John Kasich,HI,3,6
George Pataki,HI,1,8
George Pataki,HI,2,15
George Pataki,HI,3,4
Rand Paul,HI,1,8
Rand Paul,HI,2,6
Rand Paul,HI,3,12
Marco Rubio,HI,1,2
Marco Rubio,HI,2,9
Marco Rubio,HI,3,10
Rick Santorum,HI,1,13
Rick Santorum,HI,2,4
Rick Santorum,HI,3,15
Donald Trump,HI,1,2
Donald Trump,HI,2,6
Donald Trump,HI,3,10
Jeb Bush,ID,1,11
Jeb Bush,ID,2,12
Jeb Bush,ID,3,12
Ben Carson,ID,1,6
Ben Carson,ID,2,10
Ben Carson,ID,3,13
Chris Christie,ID,1,14
Chris Christie,ID,2,4
Chris Christie,ID,3,1
Ted Cruz,ID,1,11
Ted Cruz,ID,2,9
Ted Cruz,ID,3,5
Carly Fiorina,ID,1,6
Carly Fiorina,ID,2,12
Carly Fiorina,ID,3,9
Jim Gilmore,ID,1,4
Jim Gilmore,ID,2,13
Jim Gilmore,ID,3,1
Lindsey Graham,ID,1,13
Lindsey Graham,ID,2,2
Lindsey Graham,ID,3,15
Mike Huckabee,ID,1,13
Mike Huckabee,ID,2,2
Mike Huckabee,ID,3,6
Bobby Jindal,ID,1,13
Bobby Jindal,ID,2,15
Bobby Jindal,ID,3,15
John Kasich,ID,1,7
John Kasich,ID,2,6
John Kasich,ID,3,12
George Pataki,ID,1,5
George Pataki,ID,2,9
George Pataki,ID,3,6
Rand Paul,ID,1,10
Rand Paul,ID,2,4
Rand Paul,ID,3,11
Marco Rubio,ID,1,11
Marco Rubio,ID,2,2
Marco Rubio,ID,3,7
Rick Santorum,ID,1,14
Rick Santorum,ID,2,12
Rick Santorum,ID,3,10
Donald Trump,ID,1,13
Donald Trump,ID,2,2
Donald Trump,ID,3,11
Jeb Bush,IL,1,9
Jeb Bush,IL,2,1
Jeb Bush,IL,3,6
Ben Carson,IL,1,9
Ben Carson,IL,2,14
Ben Carson,IL,3,13
Chris Christie,IL,1,14
Chris Christie,IL,2,9
Chris Christie,IL,3,9
Ted Cruz,IL,1,8
Ted Cruz,IL,2,5
Ted Cruz,IL,3,13
Carly Fiorina,IL,1,8
Carly Fiorina,IL,2,5
Carly Fiorina,IL,3,15
Jim Gilmore,IL,1,4
Jim Gilmore,IL,2,4
Jim Gilmore,IL,3,6
Lindsey Graham,IL,1,7
Lindsey Graham,IL,2,1
Lindsey Graham,IL,3,10
Mike Huckabee,IL,1,10
Mike Huckabee,IL,2,12
Mike Huckabee,IL,3,11
Bobby Jindal,IL,1,5
Bobby Jindal,IL,2,7
Bobby Jindal,IL,3,11
John Kasich,IL,1,13
John Kasich,IL,2,2
John Kasich,IL,3,1
George Pataki,IL,1,3
George Pataki,IL,2,3
George Pataki,IL,3,11
Rand Paul,IL,1,11
Rand Paul,IL,2,14
Rand Paul,IL,3,6
Marco Rubio,IL,1,2
Marco Rubio,IL,2,1
Marco Rubio,IL,3,15
Rick Santorum,IL,1,1
Rick Santorum,IL,2,1
Rick Santorum,IL,3,5
Donald Trump,IL,1,10
Donald Trump,IL,2,14
Donald Trump,IL,3,12
Jeb Bush,IN,1,1
Jeb Bush,IN,2,15
Jeb Bush,IN,3,7
Ben Carson,IN,1,14
Ben Carson,IN,2,3
Ben Carson,IN,3,2
Chris Christie,IN,1,15
Chris Christie,IN,2,7
Chris Christie,IN,3,12
Ted Cruz,IN,1,14
Ted Cruz,IN,2,12
Ted Cruz,IN,3,5
Carly Fiorina,IN,1,8
Carly Fiorina,IN,2,11
Carly Fiorina,IN,3,12
Jim Gilmore,IN,1,3
Jim Gilmore,IN,2,15
Jim Gilmore,IN,3,1
Lindsey Graham,IN,1,11
Lindsey Graham,IN,2,8
Lindsey Graham,IN,3,8
Mike Huckabee,IN,1,15
Mike Huckabee,IN,2,2
Mike Huckabee,IN,3,2
Bobby Jindal,IN,1,2
Bobby Jindal,IN,2,14
Bobby Jindal,IN,3,10
John Kasich,IN,1,11
John Kasich,IN,2,14
John Kasich,IN,3,1
George Pataki,IN,1,1
George Pataki,IN,2,1
George Pataki,IN,3,8
Rand Paul,IN,1,6
Rand Paul,IN,2,13
Rand Paul,IN,3,9
Marco Rubio,IN,1,14
Marco Rubio,IN,2,6
Marco Rubio,IN,3,4
Rick Santorum,IN,1,15
Rick Santorum,IN,2,13
Rick Santorum,IN,3,8
Donald Trump,IN,1,14
Donald Trump,IN,2,2
Donald Trump,IN,3,11
Jeb Bush,IA,1,6
Jeb Bush,IA,2,2
Jeb Bush,IA,3,11
Ben Carson,IA,1,4
Ben Carson,IA,2,2
Ben Carson,IA,3,2
Chris Christie,IA,1,4
Chris Christie,IA,2,13
Chris Christie,IA,3,2
Ted Cruz,IA,1,7
Ted Cruz,IA,2,8
Ted Cruz,IA,3,14
Carly Fiorina,IA,1,7
Carly Fiorina,IA,2,8
Carly Fiorina,IA,3,12
Jim Gilmore,IA,1,8
Jim Gilmore,IA,2,15
Jim Gilmore,IA,3,5
Lindsey Graham,IA,1,1
Lindsey Graham,IA,2,2
Lindsey Graham,IA,3,11
Mike Huckabee,IA,1,12
Mike Huckabee,IA,2,3
Mike Huckabee,IA,3,8
Bobby Jindal,IA,1,8
Bobby Jindal,IA,2,1
Bobby Jindal,IA,3,1
John Kasich,IA,1,6
John Kasich,IA,2,7
John Kasich,IA,3,5
George Pataki,IA,1,8
George Pataki,IA,2,11
George Pataki,IA,3,15
Rand Paul,IA,1,10
Rand Paul,IA,2,14
Rand Paul,IA,3,9
Marco Rubio,IA,1,1
Marco Rubio,IA,2,15
Marco Rubio,IA,3,9
Rick Santorum,IA,1,15
Rick Santorum,IA,2,7
Rick Santorum,IA,3,6
Donald Trump,IA,1,14
Donald Trump,IA,2,4
Donald Trump,IA,3,4
Jeb Bush,KS,1,14
Jeb Bush,KS,2,5
Jeb Bush,KS,3,7
Ben Carson,KS,1,11
Ben Carson,KS,2,14
Ben Carson,KS,3,13
Chris Christie,KS,1,9
Chris Christie,KS,2,8
Chris Christie,KS,3,14
Ted Cruz,KS,1,5
Ted Cruz,KS,2,14
Ted Cruz,KS,3,15
Carly Fiorina,KS,1,5
Carly Fiorina,KS,2,10
Carly Fiorina,KS,3,15
Jim Gilmore,KS,1,13
Jim Gilmore,KS,2,6
Jim Gilmore,KS,3,8
Lindsey Graham,KS,1,7
Lindsey Graham,KS,2,10
Lindsey Graham,KS,3,6
Mike Huckabee,KS,1,5
Mike Huckabee,KS,2,14
Mike Huckabee,KS,3,1
Bobby Jindal,KS,1,4
Bobby Jindal,KS,2,12
Bobby Jindal,KS,3,14
John Kasich,KS,1,7
John Kasich,KS,2,11
John Kasich,KS,3,1
George Pataki,KS,1,8
George Pataki,KS,2,13
George Pataki,KS,3,2
Rand Paul,KS,1,8
Rand Paul,KS,2,4
Rand Paul,KS,3,7
Marco Rubio,KS,1,5
Marco Rubio,KS,2,6
Marco Rubio,KS,3,12
Rick Santorum,KS,1,15
Rick Santorum,KS,2,10
Rick Santorum,KS,3,2
Donald Trump,KS,1,10
Donald Trump,KS,2,7
Donald Trump,KS,3,14
Jeb Bush,KY,1,13
Jeb Bush,KY,2,6
Jeb Bush,KY,3,7
Ben Carson,KY,1,1
Ben Carson,KY,2,7
Ben Carson,KY,3,2
Chris Christie,KY,1,9
Chris Christie,KY,2,7
Chris Christie,KY,3,12
Ted Cruz,KY,1,6
Ted Cruz,KY,2,14
Ted Cruz,KY,3,5
Carly Fiorina,KY,1,6
Carly Fiorina,KY,2,1
Carly Fiorina,KY,3,11
Jim Gilmore,KY,1,15
Jim Gilmore,KY,2,2
Jim Gilmore,KY,3,8
Lindsey Graham,KY,1,6
Lindsey Graham,KY,2,7
Lindsey Graham,KY,3,14
Mike Huckabee,KY,1,1
Mike Huckabee,KY,2,11
Mike Huckabee,KY,3,7
Bobby Jindal,KY,1,11
Bobby Jindal,KY,2,1
Bobby Jindal,KY,3,6
John Kasich,KY,1,10
John Kasich,KY,2,13
John Kasich,KY,3,2
George Pataki,KY,1,8
George Pataki,KY,2,1
George Pataki,KY,3,8
Rand Paul,KY,1,2
Rand Paul,KY,2,15
Rand Paul,KY,3,15
Marco Rubio,KY,1,4
Marco Rubio,KY,2,10
Marco Rubio,KY,3,12
Rick Santorum,KY,1,7
Rick Santorum,KY,2,5
Rick Santorum,KY,3,8
Donald Trump,KY,1,13
Donald Trump,KY,2,9
Donald Trump,KY,3,14
Jeb Bush,LA,1,13
Jeb Bush,LA,2,12
Jeb Bush,LA,3,3
Ben Carson,LA,1,13
Ben Carson,LA,2,5
Ben Carson,LA,3,12
Chris Christie,LA,1,7
Chris Christie,LA,2,10
Chris Christie,LA,3,15
Ted Cruz,LA,1,15
Ted Cruz,LA,2,15
Ted Cruz,LA,3,2
Carly Fiorina,LA,1,1
Carly Fiorina,LA,2,8
Carly Fiorina,LA,3,2
Jim Gilmore,LA,1,14
Jim Gilmore,LA,2,12
Jim Gilmore,LA,3,8
Lindsey Graham,LA,1,14
Lindsey Graham,LA,2,9
Lindsey Graham,LA,3,12
Mike Huckabee,LA,1,6
Mike Huckabee,LA,2,10
Mike Huckabee,LA,3,13
Bobby Jindal,LA,1,7
Bobby Jindal,LA,2,8
Bobby Jindal,LA,3,5
John Kasich,LA,1,9
John Kasich,LA,2,15
John Kasich,LA,3,4
George Pataki,LA,1,10
George Pataki,LA,2,13
George Pataki,LA,3,1
Rand Paul,LA,1,13
Rand Paul,LA,2,14
Rand Paul,LA,3,7
Marco Rubio,LA,1,14
Marco Rubio,LA,2,8
Marco Rubio,LA,3,15
Rick Santorum,LA,1,8
Rick Santorum,LA,2,12
Rick Santorum,LA,3,7
Donald Trump,LA,1,1
Donald Trump,LA,2,15
Donald Trump,LA,3,12
Jeb Bush,ME,1,14
Jeb Bush,ME,2,15
Jeb Bush,ME,3,1
Ben Carson,ME,1,8
Ben Carson,ME,2,8
Ben Carson,ME,3,4
Chris Christie,ME,1,8
Chris Christie,ME,2,13
Chris Christie,ME,3,4
Ted Cruz,ME,1,12
Ted Cruz,ME,2,7
Ted Cruz,ME,3,4
Carly Fiorina,ME,1,6
Carly Fiorina,ME,2,5
Carly Fiorina,ME,3,8
Jim Gilmore,ME,1,7
Jim Gilmore,ME,2,14
Jim Gilmore,ME,3,5
Lindsey Graham,ME,1,10
Lindsey Graham,ME,2,13
Lindsey Graham,ME,3,10
Mike Huckabee,ME,1,14
Mike Huckabee,ME,2,8
Mike Huckabee,ME,3,10
Bobby Jindal,ME,1,13
Bobby Jindal,ME,2,1
Bobby Jindal,ME,3,13
John Kasich,ME,1,14
John Kasich,ME,2,1
John Kasich,ME,3,5
George Pataki,ME,1,11
George Pataki,ME,2,2
George Pataki,ME,3,3
Rand Paul,ME,1,3
Rand Paul,ME,2,7
Rand Paul,ME,3,10
Marco Rubio,ME,1,15
Marco Rubio,ME,2,4
Marco Rubio,ME,3,15
Rick Santorum,ME,1,5
Rick Santorum,ME,2,11
Rick Santorum,ME,3,4
Donald Trump,ME,1,3
Donald Trump,ME,2,4
Donald Trump,ME,3,14
Jeb Bush,MD,1,4
Jeb Bush,MD,2,14
Jeb Bush,MD,3,4
Ben Carson,MD,1,9
Ben Carson,MD,2,15
Ben Carson,MD,3,9
Chris Christie,MD,1,11
Chris Christie,MD,2,6
Chris Christie,MD,3,12
Ted Cruz,MD,1,10
Ted Cruz,MD,2,2
Ted Cruz,MD,3,2
Carly Fiorina,MD,1,9
Carly Fiorina,MD,2,4
Carly Fiorina,MD,3,5
Jim Gilmore,MD,1,3
Jim Gilmore,MD,2,9
Jim Gilmore,MD,3,1
Lindsey Graham,MD,1,11
Lindsey Graham,MD,2,10
Lindsey Graham,MD,3,7
Mike Huckabee,MD,1,4
Mike Huckabee,MD,2,13
Mike Huckabee,MD,3,10
Bobby Jindal,MD,1,12
Bobby Jindal,MD,2,4
Bobby Jindal,MD,3,2
John Kasich,MD,1,4
John Kasich,MD,2,6
John Kasich,MD,3,11
George Pataki,MD,1,1
George Pataki,MD,2,6
George Pataki,MD,3,6
Rand Paul,MD,1,8
Rand Paul,MD,2,14
Rand Paul,MD,3,3
Marco Rubio,MD,1,8
Marco Rubio,MD,2,7
Marco Rubio,MD,3,7
Rick Santorum,MD,1,10
Rick Santorum,MD,2,12
Rick Santorum,MD,3,4
Donald Trump,MD,1,3
Donald Trump,MD,2,8
Donald Trump,MD,3,11
Jeb Bush,MA,1,14
Jeb Bush,MA,2,3
Jeb Bush,MA,3,11
Ben Carson,MA,1,5
Ben Carson,MA,2,5
Ben Carson,MA,3,8
Chris Christie,MA,1,10
Chris Christie,MA,2,15
Chris Christie,MA,3,3
Ted Cruz,MA,1,12
Ted Cruz,MA,2,15
Ted Cruz,MA,3,14
Carly Fiorina,MA,1,6
Carly Fiorina,MA,2,12
Carly Fiorina,MA,3,8
Jim Gilmore,MA,1,5
Jim Gilmore,MA,2,5
Jim Gilmore,MA,3,2
Lindsey Graham,MA,1,13
Lindsey Graham,MA,2,3
Lindsey Graham,MA,3,15
Mike Huckabee,MA,1,8
Mike Huckabee,MA,2,14
Mike Huckabee,MA,3,11
Bobby Jindal,MA,1,2
Bobby Jindal,MA,2,5
Bobby Jindal,MA,3,2
John Kasich,MA,1,5
John Kasich,MA,2,13
John Kasich,MA,3,12
George Pataki,MA,1,5
George Pataki,MA,2,4
George Pataki,MA,3,14
Rand Paul,MA,1,3
Rand Paul,MA,2,1
Rand Paul,MA,3,5
Marco Rubio,MA,1,9
Marco Rubio,MA,2,9
Marco Rubio,MA,3,8
Rick Santorum,MA,1,4
Rick Santorum,MA,2,7
Rick Santorum,MA,3,9
Donald Trump,MA,1,2
Donald Trump,MA,2,14
Donald Trump,MA,3,10
Jeb Bush,MI,1,6
Jeb Bush,MI,2,3
Jeb Bush,MI,3,7
Ben Carson,MI,1,5
Ben Carson,MI,2,8
Ben Carson,MI,3,10
Chris Christie,MI,1,6
Chris Christie,MI,2,3
Chris Christie,MI,3,11
Ted Cruz,MI,1,3
Ted Cruz,MI,2,6
Ted Cruz,MI,3,2
Carly Fiorina,MI,1,6
Carly Fiorina,MI,2,1
Carly Fiorina,MI,3,11
Jim Gilmore,MI,1,6
